,PROD_CD,SLSMAN_CD,PLAN_MONTH,TARGET_IN_EA,ACH_IN_EA
825,8,210,10,0,24
827,14,161,11,17460,19583
828,48,110,10,0,4
829,18,111,10,864,968
830,56,112,12,684,380
831,28,211,11,12,21
832,26,44,12,744,644
833,20,194,11,1752,1790
834,20,125,12,192,97
835,82,185,11,0,2099
836,31,195,11,4400,18150
837,10,49,10,0,230
838,17,124,10,49968,43876
839,26,218,12,0,2385
840,4,9,10,40,0
841,26,80,10,120,76
843,56,150,10,72,37
844,81,214,11,0,277
845,33,10,10,12492,12427
846,61,169,11,6090,4380
847,23,32,11,72,61
848,50,11,11,34128,23873
849,62,24,11,0,141
850,84,23,12,0,113
851,51,34,12,0,412
852,16,187,12,0,144
853,38,120,11,0,5
854,27,216,11,72,87
855,35,154,11,2688,2948
856,80,186,12,648,447
859,32,176,12,336,103
860,15,94,10,696,751
861,70,188,10,0,18
862,51,165,12,4176,3218
864,13,197,12,288,186
867,45,183,12,1344,639
870,27,87,10,504,700
872,45,219,12,0,144
874,16,88,12,3204,3965
875,84,29,12,0,32
876,50,156,12,57024,54406
877,58,57,12,1176,1159
879,39,211,12,1044,373
881,61,99,10,8106,4966
882,73,125,12,0,1
883,25,17,12,540,536
884,59,169,10,756,639
885,11,79,11,0,16
886,22,123,10,19200,0
887,26,199,12,0,2395
888,57,52,12,0,13
889,15,209,11,2760,2192
890,14,43,12,23112,25759
891,70,223,11,0,74
893,22,12,10,6400,1330
894,85,4,12,0,31
895,15,7,12,3012,3271
896,18,100,11,1860,523
897,59,143,12,1470,508
898,45,96,11,2352,1427
900,15,53,11,1596,1681
901,35,38,12,1728,1734
902,36,74,11,0,30
903,42,19,10,252,203
904,81,109,12,216,136
906,10,92,12,0,76
908,42,99,10,72,77
909,22,122,12,10400,10520
910,19,188,11,0,288
911,37,41,12,108,79
912,62,132,10,4998,3318
913,15,70,12,3264,3336
914,10,54,11,0,45
917,36,84,10,24,14
918,35,174,11,5568,7275
919,13,208,11,1764,1681
922,27,60,10,108,118
924,43,170,12,6084,7590
925,18,123,11,2688,1270
926,58,62,10,12768,14092
927,59,127,11,1092,857
928,58,53,11,1848,1922
929,31,174,10,0,800
930,14,141,12,288,641
931,17,188,11,0,1308
932,31,117,12,800,160
933,23,93,12,108,145
934,18,127,10,636,704
935,62,2,10,3234,1681
936,14,113,11,28044,29267
937,37,70,11,180,140
938,74,83,10,0,2450
939,50,3,12,65568,53103
940,50,187,10,0,4592
941,42,144,10,144,103
942,50,36,10,44736,34160
943,81,161,12,0,98
944,32,53,12,756,455
